subject,elec,matfile
661,EEGG_14REF,14
661,EEGG_16REF,16
661,EEGG_20REF,20
661,EEGG_21REF,21
661,EEGG_22REF,22
661,EEGG_23REF,23
661,EEGG_26REF,26
661,EEGG_27REF,27
661,EEGG_28REF,28
661,EEGG_41REF,41
661,EEGG_49REF,49
661,EEGG_55REF,55
661,EEGG_62REF,62
661,EEGPT_01REF,73
661,EEGMT_04REF,72
717,LGA10,10
717,LGA18,18
717,LGA27,27
717,LGA32,32
717,LGA36,36
717,LGA37,37
717,LGA38,38
717,LGA39,39
717,LGA4,4
717,LGA44,44
717,LGA46,46
717,LGA47,47
717,LGA9,9
717,LGB108,108
717,LGB112,112
717,LGB113,113
717,LGB114,114
717,LGB116,116
717,LGB117,117
717,LGB119,119
717,LGB120,120
717,LGB121,121
717,LGB122,122
717,LGB126,126
717,LGB66,66
717,LGB71,71
717,LGB74,74
717,LGB75,75
717,LGB78,78
717,LGB79,79
717,LGB80,80
717,LGB82,82
717,LGB85,85
717,LGB86,86
717,LGB87,87
717,LGB88,88
717,LGB95,95
717,LOF4,158
717,RO7,179
717,RPT1,173
717,RPT2,174
717,RPT3,175
717,RPT4,176
723,LSF12,12
723,LST10,34
723,LPT2,36
723,LPT1,35
723,LIF3,15
723,LST1,25
723,LST2,26
723,RIF4,56
723,RIF12,64
723,RST4,68
723,RST5,69
723,LDII7,101
723,LDII8,102
723,LDII9,103
723,LDSI9,115
723,LDSI10,116
723,RDS11,155
723,LST7,31
723,LST8,32
741,GA48,47
741,GA64,63
741,GA44,43
741,GA45,44
741,GA47,46
741,GA14,14
741,GA23,23
741,GA41,40
742,dMF5,165
742,dPI5,159
742,G101,101
742,G102,102
742,G103,103
742,G104,104
742,G108,108
742,G110,110
742,G111,111
742,G113,113
742,G117,117
742,G118,118
742,G119,119
742,G120,120
742,G121,121
742,G124,124
742,G125,125
742,G128,128
742,G15,15
742,G22,22
742,G23,23
742,G24,24
742,G30,30
742,G31,31
742,G34,34
742,G35,35
742,G37,37
742,G42,42
742,G43,43
742,G44,44
742,G45,45
742,G53,53
742,G54,54
742,G55,55
742,G56,56
742,G61,61
742,G63,63
742,G64,64
742,G7,7
742,G75,75
743,G3,3
743,G11,11
743,G64,64
743,G46,46
743,G47,47
743,G44,44
743,G45,45
743,G52,52
743,G53,53
743,G54,54
743,G19,19
743,G10,10
763,G25,25
763,G33,33
763,AT1,49
763,DPMT7,67
763,G15,15
763,G31,31
763,G32,32
763,G20,20
763,G21,21
763,G23,23
763,G24,24
763,G34,34
763,DAI3,71
763,DAI4,72
763,DPI3,75
763,DPMT8,68
798,AF6,164
798,AIT3,131
798,DPI2,190
798,DPI3,191
798,G10,10
798,G12,12
798,G15,15
798,G16,16
798,G17,17
798,G18,18
798,G19,19
798,G20,20
798,G26,26
798,G27,27
798,G5,5
798,G56,56
798,G77,77
798,G79,79
798,G83,83
798,G84,84
798,G86,86
798,G87,87
798,G88,88
798,G92,92
798,G93,93
798,G94,94
798,G95,95
798,G96,96
798,O4,140
798,O6,142
798,SF2,154
